,sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,mixins,crunch_factor
2128,0.3,6.7,430,43.0,153.0,0.9951,8.63,0.46,10.6,7,melted,12.0,"chocolate, oats",1.38
2129,0.38,7.9,520,30.0,145.0,0.9947,8.32,0.56,11.0,9,melted,13.2,chocolate,1.4
2130,0.33,2.8,340,15.0,85.0,0.99,8.28,0.51,13.4,8,melted,13.2,"nuts, chocolate",1.83
2131,0.01,2.2,700,5.0,14.0,0.9967,8.32,0.58,11.0,4,cubed,16.6,"chocolate, peanut butter",1.6
2132,0.36,1.2,430,21.0,90.0,0.9925,8.16,0.42,11.0,9,melted,14.2,"chocolate, oats",1.22
2133,0.27,13.9,570,45.0,155.0,0.99807,7.94,0.41,8.8,10,melted,14.6,"chocolate, oats",1.71
2134,0.5,2.5,550,12.0,25.0,0.9952,8.34,0.79,13.3,7,cubed,18.4,"nuts, chocolate",1.28
2135,0.38,10.6,600,48.0,174.0,0.9962,8.13,0.38,10.5,8,melted,15.2,"chocolate, oats",1.34
2136,0.49,1.6,470,42.0,140.0,0.9932,8.4,0.47,10.7,8,melted,15.0,"chocolate, oats",1.03
2137,0.3,1.7,800,33.0,79.0,0.9969,8.41,0.65,9.5,6,cubed,14.6,"nuts, chocolate",1.5
2138,0.36,1.7,380,22.0,101.0,0.9912,8.29,0.57,11.6,8,melted,13.2,chocolate,1.83
2139,0.32,2.2,370,28.0,141.0,0.993,8.2,0.57,10.0,9,melted,14.2,chocolate,1.51
2140,0.46,4.6,940,3.0,10.0,0.99639,8.27,0.64,12.2,7,cubed,18.8,raisins,1.9
2141,0.17,2.8,400,24.0,125.0,0.9939,8.01,0.46,9.0,7,melted,12.4,raisins,1.64
2142,0.31,9.1,360,45.0,140.0,0.99216,7.98,0.31,12.0,9,melted,14.0,raisins,1.99
2143,0.3,1.1,310,13.0,73.0,0.99095,8.17,0.58,11.0,8,melted,13.2,"chocolate, oats",1.37
2144,0.19,5.8,1110,33.0,76.0,0.99878,8.14,0.55,9.4,5,cubed,19.8,"nuts, oats",1.67
2145,0.25,2.0,420,12.0,110.0,0.99034,8.02,0.54,11.4,8,melted,11.8,raisins,1.47
2146,0.42,14.3,450,45.0,213.0,0.9991,8.18,0.63,9.2,7,melted,15.4,raisins,1.87
2147,0.01,1.5,600,17.0,26.0,0.9952,8.4,0.58,9.8,6,cubed,13.2,"nuts,raisins",1.65
2148,0.38,6.5,390,20.0,110.0,0.9943,8.1,0.42,10.5,7,melted,13.8,"chocolate, oats",1.4
2149,0.29,2.0,420,19.0,189.0,0.9952,8.46,0.54,10.2,8,melted,13.6,chocolate,1.79
2150,0.3,3.85,420,105.0,179.0,0.99189,8.04,0.59,11.3,10,melted,13.4,chocolate,2.0
2151,0.27,4.1,2010,73.5,189.5,0.9942,8.27,0.38,9.4,8,melted,11.4,chocolate,1.92
2152,0.35,6.4,480,44.0,172.0,0.9944,8.29,0.55,10.5,9,melted,13.6,chocolate,1.79
2153,0.35,10.2,430,40.0,106.0,0.99632,8.16,0.5,9.7,8,melted,12.8,"chocolate, oats",1.59
2154,0.3,1.5,370,19.0,78.0,0.99057,8.47,0.42,11.9,9,melted,11.8,"nuts, chocolate",1.63
2155,0.43,2.5,360,32.0,116.0,0.9944,8.23,0.47,10.7,8,melted,16.6,"nuts, chocolate",1.98
2156,0.23,2.4,870,19.0,115.0,0.9948,7.77,0.44,9.4,8,melted,19.8,"nuts, chocolate",1.67
2157,0.26,8.1,540,47.0,181.0,0.9954,8.12,0.49,9.4,7,melted,12.8,chocolate,1.78
2158,0.4,1.85,310,25.0,111.0,0.98966,8.03,0.3,11.8,9,melted,12.2,chocolate,1.25
2159,0.32,3.0,950,13.0,75.0,0.98954,8.1,0.63,12.8,8,melted,13.2,"nuts, chocolate",1.63
2160,0.27,15.5,500,25.0,135.0,0.9984,7.9,0.43,8.7,9,melted,14.8,"chocolate, oats",1.32
2161,0.42,14.4,400,49.0,173.0,0.9994,8.28,0.82,9.0,9,melted,14.6,chocolate,1.44
2162,0.23,2.0,460,30.0,133.0,0.9908,8.12,0.54,11.4,9,melted,12.8,chocolate,1.24
2163,0.23,1.2,540,39.0,208.0,0.99272,8.18,0.46,9.9,8,melted,13.0,raisins,1.85
2164,0.32,7.9,310,23.0,118.0,0.99176,8.05,0.46,13.3,9,melted,16.2,"nuts, chocolate",1.51
2165,0.27,9.8,620,33.0,152.0,0.9966,8.31,0.47,9.5,8,melted,12.2,chocolate,1.72
2166,0.3,2.0,600,38.0,62.0,0.9958,8.26,0.56,10.2,6,cubed,16.0,"nuts, oats, chocolate",1.24
2167,0.24,15.1,300,34.0,153.0,0.9953,8.13,0.51,12.0,9,melted,14.8,"nuts, chocolate",1.19
2168,0.3,3.85,420,105.0,179.0,0.99189,8.04,0.59,11.3,10,melted,13.4,chocolate,1.58
2169,0.65,6.4,800,3.0,8.0,0.99817,8.27,0.58,11.0,5,cubed,17.2,raisins,1.6
2170,0.21,0.95,330,89.0,159.0,0.99332,8.34,0.42,8.0,7,melted,9.0,"chocolate, oats",1.01
2171,0.49,1.9,740,10.0,21.0,0.9976,7.98,0.66,9.9,7,cubed,24.0,chocolate,1.89
2172,0.27,1.2,510,20.0,89.0,0.9936,8.06,0.46,9.1,7,melted,15.6,chocolate,1.91
2173,0.24,2.0,640,23.0,120.0,0.9946,8.32,0.54,9.4,7,melted,13.2,raisins,1.26
2174,0.45,10.6,940,49.0,169.0,0.99699,8.05,0.54,8.8,7,melted,12.2,chocolate,1.78
2175,0.5,2.3,790,28.0,71.0,0.9997,8.5,0.57,9.7,5,cubed,19.2,"nuts, oats, chocolate",1.43
2176,0.18,13.15,320,25.0,131.0,0.99565,8.23,0.51,10.7,7,melted,13.0,"nuts, chocolate",1.31
2177,0.44,11.3,460,65.0,146.0,0.997,8.17,0.45,10.0,8,melted,15.0,"chocolate, oats",1.46
2178,0.32,6.8,470,47.0,193.0,0.9938,8.23,0.39,11.4,8,melted,14.0,chocolate,1.14
2179,0.23,1.5,370,38.0,93.0,0.99021,8.36,0.49,12.0,8,melted,11.8,chocolate,1.44
2180,0.18,7.0,550,50.0,194.0,0.99591,8.21,0.43,9.0,7,melted,12.0,chocolate,1.65
2181,0.16,9.0,530,32.0,111.0,0.99474,8.36,0.37,10.4,8,melted,11.4,chocolate,1.28
2182,0.53,2.6,700,5.0,16.0,0.9972,8.15,0.65,11.0,8,cubed,21.4,raisins,2.0
2183,0.42,5.0,160,31.0,113.0,0.99007,8.15,0.31,12.4,9,melted,12.2,raisins,1.95
2184,0.25,1.2,400,18.0,75.0,0.99006,8.31,0.56,11.3,8,melted,11.0,chocolate,1.97
2185,0.28,1.3,350,32.0,90.0,0.9916,8.1,0.42,10.7,8,melted,13.2,raisins,1.54
2186,0.35,1.6,920,24.0,138.0,0.99438,8.19,0.44,9.8,7,melted,15.2,raisins,1.86
2187,0.37,1.2,320,63.0,148.0,0.99185,8.32,0.44,11.2,7,melted,12.0,"chocolate, oats",1.56
2188,0.4,7.6,240,56.0,177.0,0.9928,8.04,0.32,11.5,8,melted,14.4,chocolate,1.4
2189,0.13,2.0,760,12.0,20.0,0.99546,8.29,0.54,10.1,5,cubed,14.4,"nuts, oats, chocolate",1.58
2190,0.53,6.6,380,59.0,234.0,0.9955,8.03,0.42,8.8,7,melted,12.8,chocolate,1.1
2191,0.32,4.2,400,37.0,117.0,0.99182,8.24,0.43,11.3,8,melted,12.6,"chocolate, oats",1.0
2192,0.3,1.2,300,18.0,76.0,0.9892,8.16,0.6,12.9,6,melted,13.4,"nuts, oats, chocolate",1.92
2193,0.0,2.5,750,3.0,13.0,0.998,8.49,0.52,9.2,5,cubed,14.6,"nuts, oats, chocolate",1.97
2194,0.24,2.1,840,5.0,13.0,0.9972,8.37,0.77,10.7,6,cubed,16.2,"chocolate, peanut butter",1.02
2195,0.28,2.4,120,36.0,100.0,0.99064,8.26,0.39,11.7,7,cubed,13.4,chocolate,1.35
2196,0.22,18.15,500,23.0,139.0,0.99904,8.06,0.5,9.2,7,melted,13.2,chocolate,1.33
2197,0.37,1.5,370,27.0,109.0,0.99345,8.38,0.5,9.8,8,melted,12.8,"chocolate, oats",1.22
2198,0.19,1.6,390,27.0,88.0,0.99265,8.54,0.41,10.0,9,melted,10.8,"nuts, chocolate",1.26
2199,0.37,1.1,340,36.0,84.0,0.99136,8.05,0.55,11.6,8,melted,18.4,"chocolate, oats",1.33
2200,0.3,2.2,620,6.0,12.0,0.99495,8.44,0.72,11.5,7,cubed,15.0,"nuts, chocolate",1.98
2201,0.42,1.1,430,63.0,146.0,0.99066,8.13,0.72,11.2,9,melted,12.6,"chocolate, oats",1.53
2202,0.3,5.0,560,31.0,122.0,0.9945,8.47,0.42,10.5,8,melted,14.0,"chocolate, oats",1.28
2203,0.33,2.1,420,31.0,127.0,0.98964,8.32,0.42,12.5,8,melted,12.0,raisins,1.67
2204,0.25,4.0,230,23.0,112.0,0.9923,8.37,0.51,11.6,8,melted,12.2,"chocolate, oats",1.3
2205,0.1,2.9,890,17.0,40.0,0.99803,8.29,0.55,9.5,5,cubed,16.6,"nuts, oats, chocolate",1.35
2206,0.08,1.3,380,58.0,147.0,0.9922,8.18,0.46,10.0,7,melted,13.4,raisins,1.35
2207,0.32,1.7,330,22.0,96.0,0.9898,8.03,0.38,11.2,8,melted,11.6,raisins,1.87
2208,0.04,2.5,760,18.0,88.0,0.99745,8.53,0.55,9.5,5,cubed,14.4,"nuts, oats, chocolate",1.61
2209,0.33,9.2,430,19.0,116.0,0.99444,8.08,0.42,11.4,8,melted,15.0,raisins,1.39
2210,0.58,11.1,390,41.0,151.0,0.9978,8.06,0.49,8.6,7,melted,15.4,raisins,1.55
2211,0.49,5.6,600,26.0,121.0,0.9974,8.34,0.76,10.5,5,cubed,14.0,"nuts, chocolate",1.1
2212,0.28,11.5,500,34.0,163.0,0.9969,8.31,0.45,9.5,7,melted,12.8,chocolate,1.03
2213,0.24,2.3,630,10.0,28.0,0.99613,8.25,0.53,10.2,6,cubed,16.4,"nuts, chocolate",1.29
2214,0.28,0.8,370,43.0,127.0,0.99198,8.24,0.51,9.3,7,melted,11.6,"chocolate, oats",1.67
2215,0.27,10.3,300,26.0,108.0,0.99388,8.2,0.36,10.7,8,melted,12.4,chocolate,1.5
2216,0.31,13.1,500,26.0,180.0,0.99884,8.05,0.53,9.1,8,melted,15.0,chocolate,1.36
2217,0.25,2.2,1180,9.0,38.0,0.99616,8.15,0.53,9.8,5,cubed,16.6,"nuts, oats, chocolate",1.71
2218,0.38,8.3,480,68.0,174.0,0.99492,8.14,0.5,9.6,7,melted,13.0,raisins,1.04
2219,0.32,13.2,440,54.0,221.0,0.9972,8.27,0.5,9.6,8,melted,13.6,"nuts,raisins",1.45
2220,0.5,13.7,490,56.0,189.0,0.9994,8.24,0.66,9.0,8,melted,14.6,chocolate,1.8
2221,0.45,6.0,220,14.0,49.0,0.9934,8.01,0.33,11.1,9,melted,17.6,chocolate,1.77
2222,0.36,7.0,420,38.0,161.0,0.9941,8.26,0.37,11.2,10,melted,15.6,chocolate,1.98
2223,0.27,4.9,370,13.0,101.0,0.9916,8.17,0.41,11.8,8,melted,13.0,"chocolate, oats",1.86
2224,0.34,3.0,350,36.0,102.0,0.9905,8.18,0.43,12.2,8,melted,14.0,chocolate,1.18
2225,0.29,1.6,1140,9.0,29.0,0.9974,8.26,1.56,9.1,5,cubed,15.6,"nuts, oats, chocolate",1.3
2226,0.26,5.2,240,36.0,135.0,0.9948,8.16,0.72,10.7,9,melted,13.8,chocolate,1.61
2227,0.31,13.55,530,20.0,113.0,0.99544,8.2,0.56,11.0,8,melted,13.0,raisins,1.3
2228,0.0,2.6,930,11.0,28.0,0.9994,8.36,0.86,9.4,6,cubed,18.2,"nuts, oats",2.0
2229,0.29,4.2,430,33.0,114.0,0.9902,8.16,0.31,12.5,8,melted,13.8,chocolate,1.44
2230,0.21,2.5,750,41.0,68.0,0.99586,8.37,0.54,10.1,6,cubed,14.4,raisins,1.24
2231,0.28,3.95,380,61.0,134.0,0.99146,8.3,0.54,11.3,9,melted,12.0,chocolate,1.94
2232,0.26,3.5,710,26.0,69.0,0.98994,8.1,0.38,11.5,8,melted,11.6,chocolate,1.85
2233,0.34,15.4,500,38.0,174.0,0.9983,8.03,0.42,9.0,8,melted,14.6,chocolate,1.64
2234,0.31,14.35,430,28.0,162.0,0.9988,8.17,0.54,9.1,7,melted,13.6,raisins,1.44
2235,0.07,2.5,580,5.0,9.0,0.99632,8.38,0.55,10.9,4,cubed,15.0,"nuts, oats, chocolate",1.96
2236,0.0,2.2,870,3.0,11.0,0.99378,8.71,0.63,12.8,7,cubed,11.2,"nuts, oats, chocolate",1.07
2237,0.35,10.7,400,26.0,183.0,0.9984,7.93,0.49,9.1,8,melted,17.6,chocolate,1.26
2238,0.4,8.7,380,45.0,154.0,0.99568,8.2,0.47,10.4,8,melted,14.4,raisins,1.38
2239,0.04,1.6,390,4.0,9.0,0.9962,8.4,0.47,9.4,5,cubed,15.4,"nuts, oats, chocolate",1.94
2240,0.43,11.75,450,53.0,198.0,0.9969,8.26,0.55,9.5,7,melted,13.6,chocolate,1.51
2241,0.54,5.7,350,54.0,155.0,0.98976,8.27,0.34,12.9,10,melted,10.0,chocolate,1.64
2242,0.37,8.9,530,36.0,148.0,0.996,8.16,0.5,9.3,7,melted,13.8,"nuts, chocolate",1.79
2243,0.37,6.2,310,42.0,133.0,0.99076,8.25,0.41,12.5,8,melted,10.4,raisins,1.24
2244,0.24,1.2,400,10.0,104.0,0.992,8.05,0.29,10.8,8,melted,15.2,"nuts,raisins",1.6
2245,0.07,2.0,1000,20.0,57.0,0.99598,8.6,0.74,11.7,6,cubed,13.4,"chocolate, peanut butter",1.33
2246,0.33,2.5,990,20.0,38.0,0.99818,8.24,0.71,10.8,5,cubed,21.6,"nuts, chocolate",1.86
2247,0.3,1.8,740,17.0,24.0,0.99419,8.24,0.7,11.4,8,cubed,14.8,raisins,1.68
2248,0.34,1.4,500,4.0,10.0,0.99554,8.12,0.48,9.1,6,cubed,17.8,"chocolate, peanut butter",1.18
2249,0.01,1.6,770,3.0,19.0,0.995,8.16,0.46,9.8,5,cubed,15.6,"nuts,raisins",1.37
2250,0.29,2.1,740,32.0,98.0,0.99578,8.33,0.62,9.8,5,cubed,12.4,"nuts, chocolate",1.95
2251,0.38,8.3,450,50.0,185.0,0.99578,8.15,0.5,9.5,8,melted,13.6,chocolate,1.48
2252,0.42,2.3,750,12.0,19.0,0.99434,8.14,0.71,11.8,7,cubed,17.0,raisins,1.27
2253,0.55,1.6,490,14.0,94.0,0.9949,8.02,0.61,10.3,8,melted,18.8,"chocolate, oats",1.95
2254,0.28,17.55,500,33.0,154.0,0.99971,7.94,0.43,9.0,9,melted,14.4,"chocolate, oats",1.99
2255,0.22,7.1,500,44.0,154.0,0.9931,8.3,0.4,10.5,7,melted,11.2,"nuts, chocolate",1.4
2256,0.39,1.1,400,45.0,147.0,0.9935,8.32,0.58,9.6,10,melted,13.4,chocolate,1.67
2257,0.57,2.3,1060,5.0,12.0,0.99605,8.36,0.55,11.4,6,cubed,15.0,raisins,1.71
2258,0.07,2.1,890,11.0,44.0,0.9953,8.47,0.55,10.4,6,cubed,13.6,"nuts, oats, chocolate",1.68
2259,0.62,6.3,420,7.0,109.0,0.99358,7.96,0.59,10.2,8,melted,13.8,chocolate,1.18
2260,0.18,6.4,820,47.0,240.0,0.9971,8.42,0.48,9.2,7,melted,13.2,raisins,1.42
2261,0.29,5.0,280,25.0,108.0,0.99076,8.14,0.34,12.3,8,melted,12.0,"chocolate, oats",1.73
2262,0.2,10.4,860,17.0,94.0,0.99681,8.13,0.4,9.4,7,melted,14.4,"nuts,raisins",1.32
2263,0.31,6.9,370,33.0,121.0,0.99176,8.02,0.39,11.9,10,melted,13.6,chocolate,1.53
2264,0.22,10.0,520,36.0,131.0,0.99696,8.08,0.46,9.6,7,melted,13.8,chocolate,1.64
2265,0.49,11.2,580,68.0,215.0,0.99656,8.19,0.6,9.4,8,melted,12.4,raisins,1.76
2266,0.26,9.0,470,38.0,132.0,0.997,8.25,0.53,10.2,8,melted,15.6,chocolate,1.49
2267,0.51,2.0,1210,7.0,20.0,0.9996,8.24,0.76,10.4,6,cubed,23.8,raisins,1.1
2268,0.28,1.7,410,53.0,161.0,0.99207,8.13,0.45,10.2,8,melted,13.2,"chocolate, oats",1.02
2269,0.15,5.1,760,13.0,27.0,0.99622,8.54,0.6,11.9,6,cubed,12.4,"nuts, oats",1.42
2270,0.3,1.8,390,30.0,105.0,0.98995,8.48,0.52,12.5,9,melted,11.4,chocolate,1.14
2271,0.32,1.0,410,39.0,120.0,0.99004,8.06,0.37,12.2,8,melted,13.0,raisins,1.58
2272,0.27,9.9,470,26.0,101.0,0.99596,8.34,0.5,9.9,8,melted,12.8,"chocolate, oats",1.18
2273,0.31,3.5,440,35.0,158.0,0.98998,8.19,0.37,12.1,9,melted,11.6,chocolate,1.94
2274,0.31,1.4,360,14.0,75.0,0.99085,8.34,0.58,11.1,10,melted,12.0,"chocolate, oats",1.68
2275,0.36,1.3,360,11.0,70.0,0.99202,8.43,0.68,10.4,9,melted,11.6,"chocolate, oats",1.31
2276,0.25,11.6,450,45.0,178.0,0.99691,8.33,0.43,9.8,8,melted,13.2,chocolate,1.2
2277,0.39,1.0,320,14.0,71.0,0.98912,8.31,0.38,13.0,9,melted,13.4,"chocolate, oats",1.54
2278,0.04,0.8,320,8.0,50.0,0.99036,8.14,0.4,11.0,6,melted,12.0,"nuts, oats, chocolate",1.01
2279,0.3,0.9,450,16.0,109.0,0.99249,7.95,0.39,10.1,7,melted,17.2,raisins,1.88
2280,0.26,4.0,790,35.5,216.0,0.9956,8.31,0.68,9.5,7,melted,13.4,chocolate,1.92
2281,0.27,2.3,550,14.0,28.0,0.99516,8.18,0.8,11.2,5,cubed,17.2,"nuts, chocolate",1.02
2282,0.24,4.8,370,45.0,138.0,0.99174,8.23,0.43,11.2,9,melted,12.4,raisins,1.23
2283,0.42,1.3,350,18.0,86.0,0.9908,7.99,0.39,11.3,7,melted,15.2,chocolate,1.67
2284,0.34,1.8,750,18.0,38.0,0.9933,8.38,0.88,13.6,7,cubed,14.8,raisins,1.67
2285,0.73,1.0,1380,58.0,150.0,0.9936,8.08,0.3,9.2,7,melted,14.0,"chocolate, oats",1.23
2286,0.36,5.9,740,12.0,87.0,0.9978,8.33,0.83,10.5,5,cubed,14.6,"nuts, chocolate",1.33
2287,0.74,0.8,440,19.0,163.0,0.9931,8.46,0.53,10.2,7,melted,14.0,chocolate,1.99
2288,0.15,4.6,440,25.0,78.0,0.9931,8.11,0.38,10.2,8,melted,13.2,raisins,1.68
2289,0.3,3.8,350,57.0,135.0,0.99016,8.09,0.34,12.0,8,melted,11.8,raisins,1.31
2290,0.49,8.0,460,55.0,223.0,0.996,8.08,0.52,10.7,8,melted,16.4,raisins,1.88
2291,0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,melted,14.0,"chocolate, oats",1.31
2292,0.31,10.5,350,36.0,122.0,0.99478,8.12,0.4,10.6,8,melted,14.4,chocolate,1.94
2293,0.22,4.3,320,19.0,99.0,0.99015,8.26,0.53,12.8,9,melted,13.4,"nuts, chocolate",1.72
2294,0.34,8.1,380,44.0,129.0,0.99248,8.26,0.29,12.1,8,melted,12.6,chocolate,1.23
2295,0.18,8.5,440,59.0,188.0,0.99558,8.16,0.49,9.5,7,melted,13.2,chocolate,1.13
2296,0.31,13.1,500,26.0,180.0,0.99884,8.05,0.53,9.1,8,melted,15.0,chocolate,1.61
2297,0.32,8.6,460,47.0,159.0,0.99452,8.08,0.52,10.5,8,melted,13.6,chocolate,1.73
2298,0.27,7.4,490,48.0,169.0,0.99323,8.27,0.45,11.1,8,melted,12.8,raisins,1.58
2299,0.14,2.4,860,3.0,15.0,0.9975,8.42,0.6,10.8,6,cubed,15.6,"nuts, oats, chocolate",1.88
2300,0.31,7.2,400,47.0,168.0,0.9946,8.29,0.57,10.6,9,melted,13.8,chocolate,1.72
2301,0.32,12.0,660,57.0,158.0,0.9992,8.6,0.43,9.0,8,melted,12.8,chocolate,1.38
2302,1.0,19.5,410,33.0,148.0,0.9977,8.24,0.38,12.0,8,melted,15.0,"nuts, chocolate",2.0
2303,0.55,11.95,380,22.0,111.0,0.99687,8.11,0.29,9.7,7,melted,13.8,raisins,1.51
2304,0.49,6.6,360,49.0,172.0,0.9932,8.2,0.27,11.5,8,melted,13.8,"chocolate, oats",1.29
2305,0.25,2.0,830,8.0,28.0,0.99815,8.28,0.6,10.0,6,cubed,17.2,"nuts, oats, chocolate",1.68
2306,0.17,1.6,730,7.0,11.0,0.99425,8.61,0.54,11.4,5,cubed,12.4,"nuts, chocolate",1.2
2307,0.16,7.0,450,30.0,136.0,0.9949,8.18,0.47,9.6,8,melted,12.4,raisins,1.72
2308,0.01,1.5,170,25.0,102.0,0.9894,8.38,0.36,12.3,9,melted,10.2,"nuts, chocolate",1.64
2309,0.33,10.2,480,46.0,141.0,0.9972,8.16,0.48,10.3,8,melted,16.2,chocolate,1.85
2310,0.47,15.6,630,27.0,173.0,0.99872,8.18,0.56,9.0,7,melted,13.2,raisins,1.73
2311,0.33,2.4,890,35.0,67.0,0.9972,8.28,0.73,11.8,7,cubed,19.0,"nuts,raisins",1.03
2312,0.29,6.8,510,40.0,143.0,0.99374,8.43,0.59,11.0,8,melted,12.6,chocolate,1.69
2313,0.28,1.5,370,29.0,115.0,0.9927,8.11,0.55,10.5,8,melted,14.0,chocolate,1.28
2314,0.37,4.8,190,39.0,114.0,0.99036,8.08,0.49,12.7,9,melted,14.2,raisins,1.94
2315,0.26,15.3,670,32.0,166.0,0.9986,8.03,0.44,9.2,6,melted,15.2,chocolate,1.0
2316,0.36,1.0,340,17.0,93.0,0.9906,8.04,0.32,11.7,10,melted,16.4,raisins,1.24
2317,0.39,2.9,1730,63.0,157.0,0.9937,8.1,0.34,9.4,8,melted,13.4,chocolate,1.2
2318,0.27,1.6,270,35.0,136.0,0.99248,8.38,0.54,11.0,9,melted,14.6,"chocolate, oats",1.92
2319,0.37,7.9,470,58.0,215.0,0.99542,8.19,0.48,9.5,8,melted,12.6,chocolate,1.82
2320,0.31,2.3,540,22.0,104.0,0.9924,8.24,0.92,11.5,9,melted,14.6,"chocolate, oats",1.16
2321,0.0,3.0,1150,21.0,31.0,0.99629,8.45,0.63,10.3,5,cubed,13.2,"nuts, oats, chocolate",1.0
2322,0.28,10.2,390,29.0,115.0,0.99469,8.11,0.45,10.9,9,melted,13.4,"chocolate, oats",1.43
2323,0.35,1.4,500,8.0,163.0,0.99244,8.24,0.42,10.7,7,melted,14.6,raisins,1.3
2324,0.28,31.6,530,35.0,176.0,1.0103,8.15,0.38,8.8,8,melted,15.8,raisins,1.37
2325,0.3,4.6,270,29.0,92.0,0.99085,8.15,0.38,12.0,9,melted,15.0,chocolate,1.71
2326,0.6,2.0,390,5.0,19.0,0.99585,8.3,0.86,12.4,6,cubed,19.4,"nuts,raisins",1.68
2327,0.49,1.7,700,23.0,149.0,0.9922,8.12,0.5,11.5,6,cubed,13.2,raisins,1.34
2328,0.25,2.5,460,47.0,182.0,0.99093,8.21,0.4,11.3,7,melted,11.2,raisins,1.84
2329,0.44,3.6,2000,75.0,181.0,0.9942,8.02,0.41,9.1,7,melted,12.8,chocolate,1.08
2330,0.19,1.9,850,21.0,196.0,0.99516,8.49,0.64,9.5,6,melted,12.8,chocolate,1.52
2331,0.29,13.65,480,52.0,189.0,0.99784,8.0,0.6,9.5,8,melted,13.8,raisins,1.52
2332,0.24,2.8,830,10.0,62.0,0.99685,8.35,0.56,10.0,6,cubed,16.0,"nuts, oats",1.2
2333,0.22,1.9,800,9.0,32.0,0.9974,8.13,0.55,9.5,5,cubed,20.0,"nuts,raisins",1.07
2334,0.4,6.3,320,40.0,121.0,0.99214,8.18,0.53,12.0,9,melted,13.6,chocolate,1.73
2335,0.24,17.8,590,23.0,124.0,0.99773,8.3,0.5,10.1,7,melted,11.4,chocolate,1.33
2336,0.33,2.0,590,19.0,175.0,0.9944,8.22,0.56,9.9,7,melted,15.2,chocolate,1.34
2337,0.26,5.0,270,46.0,143.0,0.9924,8.25,0.43,11.2,9,melted,13.8,raisins,1.61
2338,0.37,2.5,480,70.0,138.0,0.9917,8.33,0.75,11.4,9,melted,13.0,chocolate,1.69
2339,0.28,1.25,230,3.0,89.0,0.98993,7.95,0.3,11.4,6,melted,14.2,chocolate,1.41
2340,0.22,5.7,470,42.0,146.0,0.9934,8.18,0.55,9.9,8,melted,10.2,"chocolate, oats",1.56
2341,0.39,8.7,510,32.0,141.0,0.9961,8.38,0.53,10.5,8,melted,14.0,chocolate,1.68
2342,0.27,1.3,480,26.0,105.0,0.994,8.52,0.66,10.6,8,melted,14.8,"chocolate, oats",1.03
2343,0.35,1.7,610,6.0,15.0,0.99524,8.3,0.74,11.8,7,cubed,17.0,chocolate,1.43
2344,0.32,13.4,440,35.0,169.0,0.99975,8.12,0.47,8.8,9,melted,17.4,chocolate,1.69
2345,0.29,2.3,400,5.0,47.0,0.99126,8.07,0.45,10.1,6,melted,11.2,"chocolate, oats",1.12
2346,0.3,14.9,510,33.0,118.0,0.99835,8.04,0.54,9.0,8,melted,13.2,chocolate,1.76
2347,0.4,7.8,410,38.0,194.0,0.9976,8.34,0.51,9.6,8,melted,16.6,chocolate,1.95
2348,0.37,1.2,590,45.0,199.0,0.993,8.37,0.55,10.3,9,melted,13.2,chocolate,1.67
2349,0.04,2.5,760,18.0,88.0,0.99745,8.53,0.55,9.5,5,cubed,14.4,"nuts, oats, chocolate",1.66
2350,0.53,10.1,530,37.0,151.0,0.9963,8.07,0.4,9.4,7,melted,13.6,raisins,1.33
2351,0.51,7.6,490,35.0,200.0,0.99548,8.16,0.54,9.4,6,melted,12.6,chocolate,1.49
2352,0.62,6.4,410,7.0,113.0,0.99358,7.96,0.59,10.2,7,melted,13.6,chocolate,1.46
2353,0.67,10.5,450,49.0,155.0,0.9975,8.16,0.44,8.7,7,melted,14.2,raisins,1.75
2354,0.29,11.9,520,51.0,149.0,0.99544,8.02,0.58,10.4,8,melted,13.6,chocolate,1.57
2355,0.35,1.7,550,13.0,27.0,0.99394,8.14,0.59,11.3,7,cubed,17.6,chocolate,1.81
2356,0.24,1.8,300,30.0,105.0,0.9909,8.31,0.47,11.5,8,melted,12.0,chocolate,1.53
2357,0.3,2.0,850,6.0,39.0,0.99346,8.33,0.46,11.9,6,cubed,14.0,"nuts, chocolate",1.82
2358,0.0,1.4,420,7.0,55.0,0.99135,8.37,0.38,11.2,6,melted,12.0,raisins,1.33
2359,0.74,11.2,690,44.0,150.0,0.9968,8.0,0.81,9.2,7,melted,13.8,raisins,1.18
2360,0.1,2.1,790,6.0,31.0,0.9986,8.23,0.56,10.1,6,cubed,19.0,"nuts, oats",1.53
2361,0.36,2.2,480,35.0,53.0,0.995,8.27,1.01,12.4,7,cubed,16.2,chocolate,1.8
2362,0.37,2.4,260,23.0,100.0,0.9903,8.15,0.38,11.4,9,melted,14.2,chocolate,1.81
2363,0.47,2.65,850,9.0,34.0,0.99736,8.24,0.77,12.1,7,cubed,22.2,"nuts, chocolate",1.62
2364,0.34,14.4,670,35.0,189.0,0.9986,8.07,0.53,9.1,9,melted,14.2,chocolate,1.9
2365,0.49,1.7,400,34.0,169.0,0.9938,8.05,0.37,10.1,7,melted,16.6,chocolate,1.52
2366,0.49,2.7,850,10.0,41.0,0.9994,8.15,0.63,10.5,6,cubed,22.8,"nuts, oats, chocolate",1.41
